Task Number,Role,Day,Activity Name,Description,Time,Duration,Type,Resource Link,Success Criteria,Scorecard Link,Video Assessment?,Publish on LMS?
1,All,1,Training Briefing,"Trainer will conduct the ""Highs, Lows & Buffalos"" icebreaker, then brief you on the self-study structure and set clear expectations.",2:00pm - 3:00pm,1 hour,Trainer Led,-,Trainee pays attention and ensure they clearly understand the expectations set for them.,,,FALSE
2,All,1,All in One: Software,"This is your time to dive deep, understand what each does, and how they actually help merchants in the real world. Refer to slide 8 - 13",3:00pm - 4:00pm,1 hour,Self Study,https://storehub.sg.larksuite.com/wiki/QqIDwLTciiUfhnk7dLylG5I6ghb,Complete task within the hour and move on to Hardware topic.  Keep your trainer in the loop on your progress by 6:00 pm.,,,FALSE
3,All,1,All in One: Hardware,"POS devices, printers, scanners… meh. What matters is how they help merchants run their business smoothly. Explore the hardware, understand why it matters, and think about how it solves real merchant problems.  Refer to slide 14 - 31",4:00pm - 5:00pm,1 hour,Self Study,https://storehub.sg.larksuite.com/wiki/QqIDwLTciiUfhnk7dLylG5I6ghb,Complete task within the hour and move on to Features topic. Update your trainer by 6:00 pm.,,,FALSE
4,All,1,All in One: Feature,"Whether it’s QR Order & Pay, Beep Delivery, or Membership- who cares? This is the part where you dive deep into StoreHub features and understand how they address real merchant pain points and opportunities. Put yourself in their shoes: what do these features mean for them, and how could they make their business more efficient and successful? Refer to slide 32 to 41",5:00pm - 6:30pm,1 hour 30 minutes,Self Study,https://storehub.sg.larksuite.com/wiki/QqIDwLTciiUfhnk7dLylG5I6ghb,Complete task within the hour and move on to System Navigation topic. Update your trainer by 6:00 pm.,,,FALSE
5,All,2,All in One: System Navigation & BackOffice Assignment,"BackOffice, POS app- sounds new, doesn't it? But this is your playground. Use your dummy business, click around, test everything, and figure out how to make the system work like second nature. Refer to slide 42 to 47",9:30am - 1:00pm,4 hours 30 minutes,Self Study,https://storehub.sg.larksuite.com/wiki/QqIDwLTciiUfhnk7dLylG5I6ghb,"1. Create a Backoffice account and inform your trainer. Your store format must be as follows: Storehub(Yourname)(Role): e.g: StorehubAndreaTrainer.

2. Simultaneously study system navigation while working on the BackOffice assignment. Complete the BackOffice checklist as you watch the BackOffice and POS videos in the Knowledge Base (slide 43 & 45)

3. Complete task within the hours and move on to Merchant Profile. Update your trainer by 6:00 pm.

BackOffice Assignment (Create a checklist )

1. Complete all settings in BackOffice, excluding Kitchen Display System
2. Add 2 employees (Your trainer and maybe a friend)
3. Add 2 suppliers
4. Add 2 customers
5. Add Products
F&B Products
  - Mango Shake
    - Fixed Pricing
    - Simple Tracking
  - DIY Fruit Tea Cup
    - Fixed Pricing
    - Composite Tracking
    - Components: Tea Base, Fruit Mix (up to you on the number of options)
  - Fresh Vegetables (per pack)
    - Variable Pricing
    - Simple Tracking
  - Iced Latte
    - Single & Multiple Choice Modifiers
      - Single choice: Cup Size
      - Multiple choice: Add-ons (Extra Shot, Syrup, Whipped Cream)
    - Simple Tracking
  - Pizza (2 products)
    - Group Modifier
      - Single choice: Size
      - Multiple choice: Toppings
  
  Retail Products:
  - Wireless Earbuds
    - Fixed Pricing
    - Serialized Tracking
  - Handmade Soap (per piece)
    - By-Unit Pricing
    - Simple Tracking
  - Custom Sandwich
    - Single Choice Modifier (Bread Type)
    - Multiple Choice Modifier (sauce/toppings)
    - Composite Tracking
  - Graphic T-Shirt
    - 2 Variant Options (Size + Color)
  - Leather Wallet
    - Fixed Pricing
    - 1 Variant Option (Color)
    - Simple Tracking
  
6. Set Up Offline Store (If you have an iPad)
  1. Add products to POS Layout
  2. Activate POS Register
  3. Purchase 4 items on your register
7. Set Up Membership 
  1. Add some customers to your data base
  2. Set up all tiers, promotions, points and rewards. 
  3. Set it Live once ready.
8. Set Up Engage
  1. Activate Welcome New Customers for Engage
9. Set Up QR Order & Pay (Once complete, test your store (storename).beepit.com/dine
10. Set Up Beep Delivery (Once complete, test your store (storename).beepit.com/delivery
11. Set Up Webstore (Once complete, test your store (storename).storehub.me",,,FALSE
6,All,2,Lunch,,1:00pm - 2:00pm,1 hour,,,,,,FALSE
7,All,2,All in One: System Navigation & BackOffice Assignment (Cont),If you havent completed the Backoffice assignment- continue where you left off and complete the assignment,2:00pm - 3:00pm,1 hour,Assignment,https://storehub.sg.larksuite.com/wiki/QqIDwLTciiUfhnk7dLylG5I6ghb,"1. Create a Backoffice account and inform your trainer. Your store format must be as follows: Storehub(Yourname)(Role): e.g: StorehubAndreaTrainer.

2. Simultaneously study system navigation while working on the BackOffice assignment. Complete the BackOffice checklist as you watch the BackOffice and POS videos in the Knowledge Base (slide 43 & 45)

3. Complete task within the hours and move on to Merchant Profile. Update your trainer by 6:00 pm.

BackOffice Assignment (Create a checklist )

1. Complete all settings in BackOffice, excluding Kitchen Display System
2. Add 2 employees (Your trainer and maybe a friend)
3. Add 2 suppliers
4. Add 2 customers
5. Add Products
F&B Products
  - Mango Shake
    - Fixed Pricing
    - Simple Tracking
  - DIY Fruit Tea Cup
    - Fixed Pricing
    - Composite Tracking
    - Components: Tea Base, Fruit Mix (up to you on the number of options)
  - Fresh Vegetables (per pack)
    - Variable Pricing
    - Simple Tracking
  - Iced Latte
    - Single & Multiple Choice Modifiers
      - Single choice: Cup Size
      - Multiple choice: Add-ons (Extra Shot, Syrup, Whipped Cream)
    - Simple Tracking
  - Pizza (2 products)
    - Group Modifier
      - Single choice: Size
      - Multiple choice: Toppings
  
  Retail Products:
  - Wireless Earbuds
    - Fixed Pricing
    - Serialized Tracking
  - Handmade Soap (per piece)
    - By-Unit Pricing
    - Simple Tracking
  - Custom Sandwich
    - Single Choice Modifier (Bread Type)
    - Multiple Choice Modifier (sauce/toppings)
    - Composite Tracking
  - Graphic T-Shirt
    - 2 Variant Options (Size + Color)
  - Leather Wallet
    - Fixed Pricing
    - 1 Variant Option (Color)
    - Simple Tracking
  
6. Set Up Offline Store (If you have an iPad)
  1. Add products to POS Layout
  2. Activate POS Register
  3. Purchase 4 items on your register
7. Set Up Membership 
  1. Add some customers to your data base
  2. Set up all tiers, promotions, points and rewards. 
  3. Set it Live once ready.
8. Set Up Engage
  1. Activate Welcome New Customers for Engage
9. Set Up QR Order & Pay (Once complete, test your store (storename).beepit.com/dine
10. Set Up Beep Delivery (Once complete, test your store (storename).beepit.com/delivery
11. Set Up Webstore (Once complete, test your store (storename).storehub.me",,,FALSE
8,All,2,Sync Up !,"This is a chance to tell your trainer if you have any confusion- feel free and shamelessly ask questions so you could stay on track. During this session, your trainer will :
1. Recap on the topics you've read through
2. Conduct a product demo 
3. Discuss quiz questions",3:00pm - 4:30pm,1 hour 30 minutes,Trainer Led,-,-,,,FALSE
9,All,2,All in One: Quiz Time !,"Complete 35 questions. Achieve a minimal score of 80%, there will be no retake. Use slides as reference as this is an open book test.

P.S.: Do not submit the quiz form until you've discussed with trainer.",4:30pm - 5:30pm,1 hour,Assessment,https://forms.gle/dAiBZXvPqpfg5fjK8,Minimum passing rate is 80%,,,FALSE
10,All,2,Role Specific Brief,Great job on building your knowledge foundation! It’s time to level up and bundle that knowledge with your role-specific skills. Your trainer will walk you through the expectations for your role-specific level.,5:30pm - 6:30pm,1 hour,Trainer Led,-,-,,,FALSE
