,,,,,,,,,,,,,,,,,,,,,
Day,Time,Hours,Topic,Details and Resources,PIC,,,,,,,,,,,,,,,,
3,09:30am - 11:30am,2 hours,Advanced System & Features - V1.0.pptx ,"Topics: Reports, CSV import/export, Promotions, Pricebooks, QR Order & Pay, Beep Delivery, Membership, Engage",Self-Study,,,,,,,,,,,,,,,,
,11:30am - 1:00pm,1.5 hours,Advanced Troubleshooting.pptx ,"Topics: Networking basics, printer troubleshooting (IP addresses, feed tests, printer resets, printer configuration)",Self-Study,,,,,,,,,,,,,,,,
,1:00pm - 2:00pm,1 hour,Lunch Break,🍽️,Break,,,,,,,,,,,,,,,,
,2:00pm - 3:00pm,1 hour,Advance System & Networking Quiz,"35 questions, 80% pass required, open-book. Discuss with trainer before submitting",Assessment,,,,,,,,,,,,,,,,
,3:00pm - 3:30pm,0.5 hours,Sync Up with Trainer,Address concerns and clarify concepts,Trainer-Led,,,,,,,,,,,,,,,,
,3:30pm - 4:30pm,1 hour,Hardware Assessment,"Demonstrate: Hardware assembly, printer search, feed test, printer reset, configuration, IP troubleshooting. 80% pass required",Trainer-Led,,,,,,,,,,,,,,,,
,4:30pm - 5:30pm,1 hour,[CSM] - Tools & Supply Chain.pptx ,"Internal tools: Intercom, Aircall, supply chain processes",Self-Study,,,,,,,,,,,,,,,,
,5:30pm - 6:30pm,1 hour,Begin CSM Assessment,Review instructions and start working (due end of Day 4),Self-Work,,,,,,,,,,,,,,,,
,Homework,-,Brand Servicing slides,Complete if needed,Self-Study,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,9:30am - 11:30am,2 hours,Buddy Session with Senior CSM,Shadow a senior CSM to understand daily duties. Take detailed notes in Buddy Checklist. Senior will provide feedback on your engagement,Buddy Session,,,,,,,,,,,,,,,,
,11:30am - 12:00pm,0.5 hours,CSM Assessment (Cont.),Continue working on your assessment,Self-Work,,,,,,,,,,,,,,,,
,12:00pm - 1:00pm,1 hour,Lunch Break,🍽️,Break,,,,,,,,,,,,,,,,
,1:00pm - 2:00pm,1 hour,Mock Test Flow Briefing,Learn what to expect during Mock Test and how scoring works,Trainer-Led,,,,,,,,,,,,,,,,
,2:00pm - 6:30pm,4.5 hours,CSM Assessment (Cont.),Focus time to complete and submit by end of day,Self-Work,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5,9:30am - 10:30am,1 hour,Self-Preparation for Mock Test,Mental preparation: Recap role-specific processes and product knowledge,Self-Prep,,,,,,,,,,,,,,,,
,10:30am - 12:00pm,1.5 hours,Review Session with Coach,Present your CSM Assessment to your coach. Receive feedback and coaching. Coach completes scoring,Coach Review,,,,,,,,,,,,,,,,
,12:00pm - 1:00pm,1 hour,Lunch Break,🍽️,Break,,,,,,,,,,,,,,,,
,1:00pm - 3:00pm,1 hour,Region-Specific Training,"PH: BIR Training (study BIR slides)
MY: Mock Preparation (quick recap of Day 1-2 training slides)",Self-Study,,,,,,,,,,,,,,,,
,3:00pm - 4:00pm,2 hours,🎭 Mock Test!,"2 rounds of roleplay with spontaneous scenarios. This is your final performance assessment (45% of total score!). 

80% pass required",Coach Assessment,,,,,,,,,,,,,,,,
,4:00pm - 6:30pm,2.5 hours,Handover to Team Lead,You've officially graduated! 🎓,Graduation,,,,,,,,,,,,,,,,
