- All new hires goes through this training from Day 1 - 2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Day,Time,Hours,Topic,Details and Resources,PIC,,,,,,,,,,,,,,,,,
1,02:00pm - 03:00pm,1,Training Briefing,Trainer: Brief new hires on the self-study structure and set clear expectations for the training.,Trainer,,,,,,,,,,,,,,,,,
,03:00pm - 04:00pm,1,All-in-One - Software,"Player: Self-study everything you need to know about StoreHub—from product offerings and features to how we empower merchants to deliver the best business experience.

Module covers:
- Module 1: Software

Players will need to update learning progress to trainer by 6:00pm",Player,,,,,,,,,,,,,,,,,
,04:00pm - 05:00pm,1,All-in-One - Hardware,"Player: Self-study everything you need to know about StoreHub—from product offerings and features to how we empower merchants to deliver the best business experience.

Module covers:
- Module 2 : Hardware

Players will need to update learning progress to trainer by 6:00pm",,,,,,,,,,,,,,,,,,
,05:00pm - 06:30pm,1.5,All-in-One - Features,"Player: Self-study everything you need to know about StoreHub—from product offerings and features to how we empower merchants to deliver the best business experience.

Module covers:
- Module 3 : Features

Players will need to update learning progress to trainer by 6:00pm",,,,,,,,,,,,,,,,,,
,Homework,,Complete studying slides,Player: To complete studying training slides if can't finish during working hours,,,,,,,,,,,,,,,,,,
2,09:30am - 01:00pm,3.5,All-in-One StoreHub - System Navigation,"Player: Continue to self study on the remaining Modules

Topic covers:
- Module 4: System Navigation 
- Module 5: Merchant Profile

By the end of this session, all players must complete the slides",Player,,,,,,,,,,,,,,,,,
,01:00pm - 02:00pm,1,Lunch,,,,,,,,,,,,,,,,,,,
,02:00pm - 03:00pm,1,All-in-One StoreHub - System Navigation & Merchant Profile,"Player: Continue to self study on the remaining Modules

Topic covers:
- Module 4: System Navigation 
- Module 5: Merchant Profile

By the end of this session, all players must complete the slides",Player,,,,,,,,,,,,,,,,,
,03:00pm - 04:00pm,1,Product Demo,Trainer: Conduct a face to face demo session on the Hardware devices.,Trainer,,,,,,,,,,,,,,,,,
,04:00pm - 04:30pm,0.5,Sync Up,Trainer: Conduct a quick sync up to address players concern on topics that they have learned.,,,,,,,,,,,,,,,,,,
,04:30pm - 06:00pm,1.5,Quiz,"Player: Complete a set of 48 questions with a passing score of 80%. Use the slides as a reference, as it is an open-book test. No retakes given if failed.",,,,,,,,,,,,,,,,,,
,06:00pm - 06:30pm,0.5,Debrief & Role specific,Trainer: Attend to players if they have any concerns and advise next steps after lunch,,,,,,,,,,,,,,,,,,
Role Specific,,,,,,,,,,,,,,,,,,,,,,
