Time,Duration,Activity,Details,Type,Resouces,Ready?,,,,,,,,,,,,
09:30am - 11:30am,2 hours,Advanced System & Features - V1.0.pptx ,"Topics: Reports, CSV import/export, Promotions, Pricebooks, QR Order & Pay, Beep Delivery, Membership, Engage",Self-Study,Update slides and migrate to Lark,,,,,,,,,,,,,
11:30am - 1:00pm,1.5 hours,Advanced Troubleshooting.pptx ,"Topics: Networking basics, printer troubleshooting (IP addresses, feed tests, printer resets, printer configuration)",Self-Study,Update slides and migrate to Lark,,,,,,,,,,,,,
1:00pm - 2:00pm,1 hour,Lunch Break,🍽️,Break,,,,,,,,,,,,,,
2:00pm - 3:00pm,1 hour,Advance System & Networking Quiz,"35 questions, 80% pass required, open-book. Use slides as reference",Assessment,,,,,,,,,,,,,,
3:00pm - 3:30pm,0.5 hours,Quick Sync Up,Address concerns and clarify concepts with your trainer,Trainer-Led,,,,,,,,,,,,,,
3:30pm - 4:30pm,1 hour,Hardware Assessment,"Demonstrate: Hardware assembly, printer search, kitchen printer setup, printer assignment on POS, WiFi connection, main register assignment for Beep Orders. 80% pass required",Trainer Assessment,,,,,,,,,,,,,,
4:30pm - 5:30pm,1 hour,Tools & Supply Chain,"Internal tools: Intercom, Aircall, supply chain processes",Self-Study,,,,,,,,,,,,,,
5:30pm - 6:30pm,1 hour,Brand Servicing,Essential soft skills for merchant interactions,Self-Study,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
9:30am - 12:00pm,2.5 hours,Buddy Session with Senior OC,Shadow a senior OC to understand menu setup process from start to end. Take detailed notes in Buddy Checklist. Senior will provide feedback on your engagement,Buddy Session,Update Quiz form,,,,,,,,,,,,,
12:00pm - 1:00pm,1 hour,Lunch Break,🍽️,Break,,,,,,,,,,,,,,
2:00pm - 4:30pm,2.5 hours,🎯 Menu Setup Task!,"Using an Intercom ticket, set up a merchant menu with minimum 20 products. Configure on both Beep and QR Order & Pay. Senior OC will cross-check your work for accuracy",Final Practical Assessment,Migrate to Lark,,,,,,,,,,,,,
4:30pm - 6:30pm,2 hours,Handover to Team Lead,You've officially graduated! 🎓,Graduation,Create scorecard on Lark. Current scorecard: here,,,,,,,,,,,,,
